Unnamed: 0,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,ETN,FI,GE,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SNPS,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,V,VRTX,VZ,WFC,WMT,XOM
2019-03-31,19.33,12.17,52.28,22.91,47.78,29.34,23.34,15.64,638.0,14.97,62.54,57.92,15.47,25.83,9.49,25.88,16.54,5.82,31.63,8.0,10.67,15.6,11.22,12.87,10.52,29.36,81.3,20.06,22.26,11.64,63.25,7.79,11.95,16.7,38.87,3.82,31.17,31.29,8.3,21.87,20.8,19.13,15.17,11.84,53.99,24.61,9.43,24.78,29.82,46.58,7.45,12.61,21.38,12.75,32.93,27.12,19.69,24.98,49.62,16.72,17.6,7.72,25.91,7.03,33.5,116.51,30.62,-7239.16,69.07,17.15,-290.7,30.03,14.73,23.68,9.84,32.61,25.32,26.44,25.68,12.45,33.73,15.26,38.34,32.03,44.42,10.77,23.39,33.59,16.4,-17.81,20.96,16.96,22.02,22.3,29.03,44.27,12.15,10.16,19.2,37.15
2018-12-31,9.36,-18.88,48.54,20.61,45.15,26.1,25.59,12.01,117.47,16.03,60.78,20.33,10.26,13.44,8.34,30.75,16.9,-4.95,31.68,7.25,17.62,41.9,79.98,15.34,9.61,26.8,80.39,18.27,13.81,25.0,21.49,14.65,39.76,11.69,25.21,12.94,20.12,20.3,6.24,22.19,14.09,12.53,10.23,74.22,46.91,28.89,11.52,9.22,57.99,6.0,26.0,14.79,-23.6,8.4,54.14,24.06,17.72,23.02,13.74,65.68,25.85,12.19,23.2,3.26,49.23,218.02,35.06,-2708.8166666666666,37.06,19.94,-1941.73,5.68,-151.97,17.98,33.22,13.93,13.59,16.16,13.06,18.84,26.32,14.91,27.73,20.66,7.09,8.09,17.68,25.05,21.1,102.63,18.17,19.67,16.22,46.56,24.49,6.81,29.99,9.48,18.82,12.09
2018-09-30,19.32,13.06,57.81,26.3,48.45,18.56,32.57,8.65,85.81,17.95,84.82,19.5,14.28,23.22,10.38,13.3,15.65,7.14,31.19,9.65,13.05,12.52,16.57,14.04,12.48,31.41,248.34,14.23,14.61,13.32,25.45,18.63,18.67,22.78,36.01,-0.69,22.62,22.87,8.6,17.14,12.78,12.36,8.45,403.38,56.0,23.82,11.49,9.88,26.14,26.38,23.88,16.79,31.02,11.29,30.55,19.67,13.15,27.15,23.03,38.08,23.25,9.8,25.13,3.53,19.61,103.16,30.0,-4210.225,22.98,21.31,-112.06,15.95,14.98,16.32,11.09,27.77,14.16,-52.09,19.06,13.28,24.07,18.13,13.13,25.31,28.32,9.76,22.14,34.65,18.71,42.63,16.62,20.3,19.01,16.84,29.47,94.82,11.31,11.55,42.87,14.69
2018-06-30,19.62,18.32,36.49,23.86,46.6,21.63,135.13,10.15,33.85,13.19,81.5,6.68,13.24,22.23,10.58,24.92,18.79,9.59,20.33,9.43,11.85,11.42,12.78,11.73,12.44,24.49,85.66,13.07,17.62,12.28,22.72,13.4,14.61,13.33,29.97,22.1,60.63,61.37,8.34,16.09,20.29,12.7,11.54,268.85,53.27,20.62,10.76,11.45,20.15,23.71,-84.56,18.3,13.05,6.74,32.66,20.42,46.81,27.89,27.88,19.57,22.63,8.99,21.35,4.36,24.75,110.78,25.35,-144.97,33.65,14.1,-1999.94,20.95,13.05,26.73,12.22,26.03,14.28,17.29,17.89,7.12,19.66,19.91,41.81,27.76,34.92,7.5,20.48,27.74,16.19,-20.31,19.17,20.17,17.85,15.49,31.85,52.07,12.62,14.14,-76.32,22.36
2018-03-31,15.25,13.53,62.83,28.79,44.26,22.01,19.45,11.32,31.41,13.04,107.51,4.08,12.52,19.56,11.19,41.41,20.13,-108.13,31.55,9.36,13.23,14.72,10.89,12.65,19.69,28.65,64.1,19.9,14.86,9.08,26.75,12.62,10.71,17.96,17.13,-15.26,19.07,19.16,8.65,22.14,18.04,20.09,13.66,9.89,40.48,19.13,10.97,13.87,33.85,22.11,16.65,21.22,17.58,11.2,30.85,22.48,16.56,18.86,23.58,15.2,47.5,9.12,23.66,4.16,4.35,110.5,-29.4,683.34,27.39,-12.9,-94.71,28.04,13.9,20.43,12.35,22.81,24.8,57.29,20.69,11.3,29.44,22.46,31.09,24.55,33.96,8.89,18.07,35.84,19.45,-15.86,18.69,18.22,19.92,16.85,25.91,49.07,10.8,13.65,30.57,17.13
2017-12-31,10.78,742.06,-30.04,20.28,44.04,30.66,27.64,108.2,40.66,-7.38,76.04,42.33,-17.94,14.04,32.67,-38.07,9.03,3.76,-13.84,-2.65,-18.09,11.09,46.69,3.1,10.36,29.99,305.25,-5.97,19.0,-25.48,16.74,9.55,11.71,13.61,12.39,-2.35,-60.14,-60.54,-12.88,33.4,-11.54,-32.13,-78.66,-511.7,-263.84,-8.75,22.12,-30.54,-17.76,336.28,-13.3,-35.74,37.93,-755.46,176.2,48.91,19.97,-21.15,30.53,357.84,-41.48,33.5,-26.16,4.49,8.53,112.04,32.04,-197.68,33.45,23.39,-103.02,-59.96,4.17,23.33,14.2,28.43,59.1,-4.02,62.77,37.38,8.98,28.89,-937.4,40.97,-58.2,2.38,14.05,36.05,4.91,-19.4,74.76,14.77,3.61,23.39,25.67,93.61,2.9,12.68,36.25,10.64
2017-09-30,18.52,21.75,38.51,21.65,45.59,24.21,30.1,15.14,45.64,16.79,451.6,52.18,14.96,20.5,11.56,13.03,19.24,27.8,35.35,11.81,17.46,-237.43,20.8,17.05,36.12,29.53,356.94,17.83,28.33,20.84,23.13,21.69,16.36,6.06,29.02,17.07,24.7,25.07,11.1,22.3,19.23,11.81,9.88,-568.55,32.75,23.4,12.62,14.79,33.17,23.88,40.55,23.45,18.56,11.68,26.24,16.75,15.44,13.66,26.81,27.3,-743.23,12.67,21.83,3.74,20.31,151.28,22.78,-207.27,36.67,24.39,-52.27,19.12,17.92,20.87,31.41,9.6,21.88,113.38,33.67,10.14,24.42,23.69,-26.97,24.12,30.61,15.03,17.38,35.09,23.3,-23.03,17.23,19.07,19.29,20.64,28.11,-92.4,13.96,16.61,37.2,22.05
2017-06-30,21.46,15.1,74.61,28.79,47.37,105.59,42.82,12.83,-184.28,14.69,588.42,50.68,14.26,16.87,11.53,31.9,20.18,24.51,65.02,11.83,19.77,13.03,13.08,18.31,-3.95,18.85,911.28,16.24,33.84,16.03,23.33,17.54,14.55,16.83,29.17,25.62,44.64,45.66,12.3,16.56,17.52,14.73,14.15,367.32,39.06,23.31,11.7,13.99,34.95,23.35,21.53,21.42,11.61,11.48,27.6,22.28,32.93,28.25,28.58,20.0,21.41,12.57,20.41,5.16,20.67,245.64,21.64,-79.97,41.61,14.92,-78.4,19.82,15.54,25.94,17.41,28.93,25.6,24.13,36.76,9.87,30.44,24.99,24.63,22.31,33.18,11.21,20.02,27.8,21.68,-44.32,18.1,19.56,18.74,17.42,26.22,443.13,10.45,12.8,20.75,25.87
2017-03-31,17.02,15.2,45.98,22.71,37.25,69.49,19.44,13.64,-41.11,14.6,146.03,83.26,14.57,18.7,12.27,48.04,18.27,25.32,29.27,10.11,70.96,14.61,15.05,17.39,26.45,27.06,-1661.29,16.95,18.81,11.14,26.0,18.76,10.82,19.17,24.85,59.47,26.42,27.0,10.51,22.93,17.2,22.39,14.37,8.33,39.75,19.0,12.33,14.69,38.48,21.76,-200.46,25.39,30.61,9.08,28.04,21.84,26.14,24.45,34.07,16.72,26.76,10.48,23.18,7.59,9.48,89.28,20.7,-89.0,31.13,19.99,-40.5,30.37,15.62,22.83,13.4,33.46,27.55,27.93,44.8,9.48,32.4,24.17,52.15,21.15,27.68,13.94,23.58,27.25,19.15,-34.1,20.16,18.01,20.05,20.25,119.98,27.15,14.42,13.48,18.79,21.58
2016-12-31,8.58,17.92,17.72,18.48,30.92,27.35,22.53,13.16,-50.33,14.02,119.13,-26.81,21.07,14.8,11.97,26.82,18.34,15.99,59.39,11.7,-11.6,9.61,22.31,18.35,-446.37,36.66,-269.48,16.54,132.99,43.74,16.0,16.73,25.73,14.99,26.63,11.33,24.96,25.63,10.59,23.94,20.45,8.35,12.05,586.06,30.15,20.44,11.56,12.91,81.09,20.62,25.21,18.45,23.96,13.2,30.07,20.87,183.52,31.32,23.62,19.96,32.77,12.64,19.22,26.69,14.5,199.26,24.66,-95.13,23.23,20.74,-55.22,26.66,54.46,6.93,13.42,15.7,20.73,36.22,41.98,12.8,26.9,25.12,27.38,12.96,21.99,20.29,17.7,22.11,30.41,-68.27,17.35,22.62,18.56,-105.05,22.02,137.22,12.12,14.35,13.61,55.04
